iter	Passed	Remaining
0	140	139897
1	140	70235
2	142	47206
3	143	35677
4	144	28701
5	145	24031
6	146	20755
7	147	18290
8	148	16359
9	149	14792
10	150	13519
11	151	12482
12	152	11590
13	153	10837
14	154	10157
15	155	9558
16	156	9030
17	157	8569
18	157	8155
19	158	7778
20	159	7439
21	160	7126
22	161	6840
23	161	6572
24	162	6328
25	162	6103
26	163	5899
27	164	5706
28	165	5525
29	165	5359
30	166	5199
31	166	5048
32	167	4906
33	168	4778
34	168	4656
35	169	4544
36	170	4438
37	171	4332
38	171	4231
39	172	4134
40	172	4042
41	173	3955
42	174	3883
43	175	3804
44	175	3728
45	176	3657
46	176	3587
47	177	3520
48	178	3456
49	178	3393
50	179	3333
51	179	3274
52	180	3224
53	181	3173
54	181	3123
55	182	3075
56	183	3027
57	183	2981
58	184	2935
59	184	2891
60	185	2848
61	185	2806
62	186	2766
63	186	2728
64	187	2692
65	187	2656
66	188	2622
67	188	2589
68	189	2557
69	190	2525
70	190	2494
71	191	2464
72	191	2435
73	192	2406
74	192	2379
75	193	2353
76	194	2327
77	194	2302
78	195	2278
79	195	2253
80	196	2229
81	197	2206
82	197	2180
83	197	2157
84	198	2137
85	199	2116
86	199	2098
87	200	2079
88	201	2060
89	201	2040
90	202	2020
91	202	2001
92	203	1983
93	203	1966
94	204	1949
95	205	1932
96	205	1917
97	206	1901
98	207	1885
99	207	1869
100	208	1853
101	208	1837
102	209	1822
103	209	1807
104	210	1793
105	210	1778
106	211	1765
107	212	1754
108	213	1741
109	213	1728
110	214	1715
111	214	1703
112	215	1690
113	215	1677
114	216	1665
115	217	1653
116	217	1642
117	218	1630
118	218	1619
119	219	1608
120	219	1597
121	220	1585
122	221	1575
123	221	1564
124	222	1554
125	222	1545
126	223	1535
127	224	1526
128	225	1520
129	225	1510
130	226	1500
131	226	1490
132	227	1481
133	227	1472
134	228	1463
135	228	1454
136	229	1445
137	230	1437
138	230	1429
139	231	1421
140	231	1412
141	232	1403
142	232	1394
143	233	1386
144	233	1378
145	234	1370
146	234	1363
147	235	1356
148	236	1350
149	236	1342
150	237	1335
151	238	1328
152	238	1320
153	239	1313
154	239	1306
155	240	1299
156	240	1292
157	241	1286
158	241	1279
159	242	1273
160	242	1265
161	243	1259
162	244	1253
163	244	1246
164	245	1240
165	245	1234
166	246	1228
167	246	1222
168	247	1216
169	248	1210
170	248	1205
171	249	1199
172	249	1193
173	250	1188
174	250	1182
175	251	1176
176	251	1170
177	252	1164
178	252	1158
179	253	1153
180	253	1148
181	254	1143
182	255	1138
183	255	1133
184	256	1128
185	256	1123
186	257	1118
187	257	1113
188	258	1108
189	258	1104
190	259	1099
191	260	1095
192	260	1090
193	261	1086
194	261	1081
195	262	1077
196	263	1072
197	263	1068
198	264	1063
199	264	1058
200	265	1055
201	266	1051
202	266	1047
203	267	1043
204	267	1038
205	268	1034
206	268	1030
207	269	1026
208	270	1022
209	270	1018
210	271	1014
211	271	1010
212	272	1006
213	272	1002
214	273	998
215	274	994
216	274	991
217	275	987
218	275	983
219	276	979
220	276	975
221	277	971
222	277	968
223	278	964
224	279	961
225	279	958
226	280	954
227	280	951
228	281	947
229	282	944
230	282	940
231	283	937
232	283	934
233	284	931
234	285	928
235	285	925
236	286	922
237	286	918
238	287	915
239	288	912
240	288	908
241	289	905
242	289	902
243	290	900
244	291	897
245	291	894
246	292	891
247	292	888
248	293	885
249	293	881
250	294	878
251	295	875
252	295	872
253	296	869
254	296	866
255	297	864
256	298	861
257	298	859
258	299	856
259	299	853
260	300	850
261	300	847
262	301	844
263	301	841
264	302	839
265	303	836
266	303	834
267	304	831
268	305	828
269	305	826
270	306	823
271	306	820
272	307	818
273	307	815
274	308	813
275	309	810
276	309	808
277	310	806
278	310	803
279	311	800
280	312	798
281	312	795
282	313	794
283	313	791
284	314	789
285	315	786
286	315	784
287	316	782
288	316	779
289	317	777
290	318	775
291	318	772
292	319	770
293	319	767
294	320	765
295	320	763
296	321	760
297	322	758
298	322	756
299	323	754
300	323	752
301	324	749
302	325	747
303	325	745
304	326	743
305	326	740
306	327	738
307	328	737
308	328	735
309	329	733
310	329	730
311	330	728
312	330	726
313	331	724
314	332	722
315	332	719
316	333	718
317	333	716
318	334	714
319	335	712
320	335	710
321	336	707
322	336	705
323	337	703
324	337	701
325	338	699
326	338	697
327	339	695
328	340	693
329	340	692
330	341	690
331	342	688
332	342	686
